scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Neodiprion lecontei	Neodiprion		NA	Diprionidae	Tenthredinoidea	152781										
Neodiprion merkeli	Neodiprion		NA	Diprionidae	Tenthredinoidea	152782										
Neodiprion pinetum	Neodiprion		NA	Diprionidae	Tenthredinoidea	152784										
Neodiprion sertifer	Neodiprion		NA	Diprionidae	Tenthredinoidea	152789										
Pikonema alaskensis	Pikonema		NA	Tenthredinidae	Tenthredinoidea	152831										
Pristiphora erichsonii	Pristiphora		NA	Tenthredinidae	Tenthredinoidea	152837										
Pristiphora geniculata	Pristiphora		NA	Tenthredinidae	Tenthredinoidea	152838										
Schizocerella pilicornis	Schizocerella		NA	Argidae	Tenthredinoidea	152765										
Sphacophilus cellularis	Sphacophilus		NA	Argidae	Tenthredinoidea	152763										
Tenthredinoidea	NA		NA	NA	Tenthredinoidea	152754										
Tethida barda	Tethida		NA	Tenthredinidae	Tenthredinoidea	152840										
Tomostethus multicinctus	Tomostethus		NA	Tenthredinidae	Tenthredinoidea	152842										
